movie_id,year,platform,rating_count,meta_country,runtime_min,runtime_text,mean_rating,title,rating_distribution_1_to_5,genres,reviews_count,rating_distribution,url,meta
,2025,,62588,,,,6.4,风林火山 風林火山,,Drama / Crime,,,,
,2025,,193183,,,,8.6,鬼灭之刃：无限城篇 第一章 猗窝座再袭 劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,,Action / Animation / Fantasy / Adventure,,,,
,2024,,61303,,,,6.9,魔法坏女巫 Wicked,,Romance / Musical / Fantasy,,,,
,2025,,236,,,,8.6,魔法坏女巫：奇幻之夜 Wicked: One Wonderful Night,,Music / Musical,,,,
,2024,,194,,,,7.8,魔法坏女巫：幕后故事 Defying Gravity: The Curtain Rises on Wicked,,Documentary,,,,
,2025,,2319,,,,6.0,魔法蓝精灵 Smurfs,,Comedy / Animation / Fantasy / Adventure,,,,
,2024,,30190,,,,5.5,黄雀在后！,,Drama / Mystery / Crime,,,,
,2024,,290709,,,,5.9,默杀,,Drama / Mystery / Crime,,,,
35270213,2020,Douban,19141,,,,8.9,万物生灵：2020圣诞特别集 All Creatures Great and Small: Christmas Special,,Drama / Comedy / Romance,,,https://movie.douban.com/subject/35270213/,英国 / 剧情 / 喜剧 / 爱情 / 万物既伟大又渺小：2020圣诞特别集 / 60分钟
35026069,2020,Douban,3539,,,,6.7,东京白日梦女2020 東京タラレバ娘2020,,Drama / Romance,,,https://movie.douban.com/subject/35026069/,日本 / 剧情 / 爱情 / 东京白日梦女 SP
34906689,2020,Douban,12987,,,,8.9,昨日的美食 2020新年特别篇 きのう何食べた正月スペシャル2020,,Drama / Homosexual / Family,,,https://movie.douban.com/subject/34906689/,日本 / 剧情 / 同性 / 家庭 / 77分钟
35083566,2020,Douban,634,,,,8.1,泷泽歌舞伎 ZERO 2020 滝沢歌舞伎 ZERO 2020 The Movie,,Drama / Action,,,https://movie.douban.com/subject/35083566/,日本 / 剧情 / 动作
35190755,2020,Douban,274,,,,5.7,日本沉没2020 剧场剪辑版 -不沉的希望- 日本沈没2020 劇場編集版 -シズマヌキボウ-,,Drama / Animation / Disaster,,,https://movie.douban.com/subject/35190755/,日本 / 剧情 / 动画 / 灾难 / Japan Sinks: 2020 Theatrical Edition / 151分钟
35263475,2020,Douban,7060,,,,9.1,古宅老友记：2020圣诞特别集 Ghosts: Christmas Special,,Comedy / Fantasy,,,https://movie.douban.com/subject/35263475/,英国 / 喜剧 / 奇幻 / 鬼屋欢乐送：圣诞特集 / 同一屋檐吓：圣诞特集 / 30分钟
